TIME	RELAYED
133200.0	7674
136800.0	7904
140400.0	8164
144000.0	8386
147600.0	8613
151200.0	8767
154800.0	9019
158400.0	9269
162000.0	9450
165600.0	9682
169200.0	9879
172800.0	10098
176400.0	10334
180000.0	10541
183600.0	10768
187200.0	10952
190800.0	11179
194400.0	11403
198000.0	11668
201600.0	11869
205200.0	12077
208800.0	12277
212400.0	12517
216000.0	12745
219600.0	12942
223200.0	13161
226800.0	13345
230400.0	13602
234000.0	13818
237600.0	14040
241200.0	14297
244800.0	14531
248400.0	14722
252000.0	14909
255600.0	15152
259200.0	15246
266400.0	15258
273600.0	15258
3600.0	18
7200.0	177
10800.0	400
14400.0	640
262800.0	15258
270000.0	15258
18000.0	815
21600.0	1055
25200.0	1262
28800.0	1454
32400.0	1619
36000.0	1911
39600.0	2141
43200.0	2349
46800.0	2582
50400.0	2771
54000.0	2986
57600.0	3181
61200.0	3450
64800.0	3662
68400.0	3859
72000.0	4083
75600.0	4295
79200.0	4503
82800.0	4722
86400.0	4896
90000.0	5138
93600.0	5368
97200.0	5550
100800.0	5780
104400.0	6017
108000.0	6284
111600.0	6437
115200.0	6608
118800.0	6871
122400.0	7077
126000.0	7269
129600.0	7454

