TIME	RELAYED
133200.0	6384
136800.0	6561
140400.0	6780
144000.0	6963
147600.0	7160
151200.0	7322
154800.0	7524
158400.0	7717
162000.0	7905
165600.0	8067
169200.0	8272
172800.0	8463
176400.0	8673
180000.0	8872
183600.0	9085
187200.0	9265
190800.0	9419
194400.0	9606
198000.0	9810
201600.0	10007
205200.0	10218
208800.0	10387
212400.0	10572
216000.0	10742
219600.0	10918
223200.0	11103
226800.0	11287
230400.0	11482
234000.0	11681
237600.0	11884
241200.0	12081
244800.0	12293
248400.0	12450
252000.0	12660
255600.0	12832
259200.0	12988
266400.0	13197
273600.0	13230
3600.0	2
7200.0	18
10800.0	90
14400.0	250
262800.0	13120
270000.0	13222
18000.0	431
21600.0	605
25200.0	782
28800.0	973
32400.0	1148
36000.0	1319
39600.0	1511
43200.0	1681
46800.0	1901
50400.0	2106
54000.0	2302
57600.0	2502
61200.0	2679
64800.0	2861
68400.0	3075
72000.0	3255
75600.0	3438
79200.0	3626
82800.0	3819
86400.0	3984
90000.0	4167
93600.0	4342
97200.0	4516
100800.0	4703
104400.0	4936
108000.0	5152
111600.0	5344
115200.0	5495
118800.0	5666
122400.0	5848
126000.0	6033
129600.0	6212

