TIME	DELETED
133200.0	103
136800.0	124
140400.0	125
144000.0	108
147600.0	115
151200.0	114
154800.0	132
158400.0	126
162000.0	127
165600.0	134
169200.0	115
172800.0	152
176400.0	138
180000.0	128
183600.0	170
187200.0	154
190800.0	130
194400.0	144
198000.0	121
201600.0	138
205200.0	161
208800.0	152
212400.0	155
216000.0	131
219600.0	146
223200.0	87
226800.0	127
230400.0	142
234000.0	130
237600.0	124
241200.0	101
244800.0	144
248400.0	143
252000.0	150
255600.0	130
259200.0	127
266400.0	132
273600.0	52
3600.0	0
7200.0	0
10800.0	1
14400.0	7
262800.0	117
270000.0	107
18000.0	32
21600.0	127
25200.0	118
28800.0	127
32400.0	114
36000.0	159
39600.0	143
43200.0	111
46800.0	123
50400.0	119
54000.0	166
57600.0	146
61200.0	176
64800.0	136
68400.0	137
72000.0	154
75600.0	172
79200.0	121
82800.0	159
86400.0	136
90000.0	137
93600.0	108
97200.0	109
100800.0	95
104400.0	105
108000.0	131
111600.0	149
115200.0	157
118800.0	119
122400.0	111
126000.0	126
129600.0	99

