TIME	RELAYED
133200.0	6781
136800.0	6972
140400.0	7236
144000.0	7425
147600.0	7600
151200.0	7782
154800.0	7996
158400.0	8198
162000.0	8383
165600.0	8593
169200.0	8779
172800.0	8993
176400.0	9224
180000.0	9382
183600.0	9569
187200.0	9777
190800.0	9981
194400.0	10182
198000.0	10355
201600.0	10555
205200.0	10788
208800.0	10955
212400.0	11167
216000.0	11347
219600.0	11559
223200.0	11755
226800.0	11943
230400.0	12144
234000.0	12337
237600.0	12542
241200.0	12733
244800.0	12970
248400.0	13180
252000.0	13347
255600.0	13517
259200.0	13722
266400.0	13851
273600.0	13862
3600.0	3
7200.0	34
10800.0	140
14400.0	363
262800.0	13819
270000.0	13862
18000.0	539
21600.0	708
25200.0	916
28800.0	1113
32400.0	1280
36000.0	1484
39600.0	1694
43200.0	1886
46800.0	2115
50400.0	2284
54000.0	2494
57600.0	2682
61200.0	2869
64800.0	3074
68400.0	3271
72000.0	3446
75600.0	3665
79200.0	3885
82800.0	4072
86400.0	4251
90000.0	4439
93600.0	4640
97200.0	4822
100800.0	5027
104400.0	5240
108000.0	5480
111600.0	5685
115200.0	5855
118800.0	6040
122400.0	6247
126000.0	6439
129600.0	6601

