TIME	RELAYED
133200.0	8336
136800.0	8565
140400.0	8842
144000.0	9067
147600.0	9291
151200.0	9507
154800.0	9772
158400.0	10003
162000.0	10245
165600.0	10474
169200.0	10632
172800.0	10952
176400.0	11186
180000.0	11417
183600.0	11628
187200.0	11852
190800.0	12058
194400.0	12341
198000.0	12571
201600.0	12761
205200.0	13049
208800.0	13247
212400.0	13504
216000.0	13719
219600.0	14003
223200.0	14164
226800.0	14420
230400.0	14697
234000.0	14932
237600.0	15156
241200.0	15392
244800.0	15617
248400.0	15805
252000.0	16065
255600.0	16265
259200.0	16287
266400.0	16287
273600.0	16287
3600.0	77
7200.0	326
10800.0	530
14400.0	820
262800.0	16287
270000.0	16287
18000.0	1000
21600.0	1228
25200.0	1475
28800.0	1635
32400.0	1945
36000.0	2189
39600.0	2409
43200.0	2614
46800.0	2869
50400.0	3081
54000.0	3292
57600.0	3575
61200.0	3832
64800.0	3984
68400.0	4242
72000.0	4492
75600.0	4724
79200.0	4917
82800.0	5110
86400.0	5405
90000.0	5656
93600.0	5849
97200.0	6102
100800.0	6290
104400.0	6523
108000.0	6804
111600.0	6976
115200.0	7231
118800.0	7468
122400.0	7570
126000.0	7848
129600.0	8109

