TIME	RELAYED
133200.0	3
136800.0	3
140400.0	1
144000.0	4
147600.0	1
151200.0	5
154800.0	1
158400.0	5
162000.0	51
165600.0	29
169200.0	72
172800.0	101
176400.0	89
180000.0	64
183600.0	63
187200.0	51
190800.0	33
194400.0	20
198000.0	7
201600.0	10
205200.0	3
208800.0	0
212400.0	0
216000.0	5
219600.0	3
223200.0	0
226800.0	2
230400.0	2
234000.0	4
237600.0	1
241200.0	0
244800.0	19
248400.0	105
252000.0	219
255600.0	45
259200.0	84
266400.0	42
273600.0	0
3600.0	0
7200.0	0
10800.0	0
14400.0	0
262800.0	27
270000.0	6
18000.0	0
21600.0	12
25200.0	249
28800.0	4
32400.0	5
36000.0	5
39600.0	2
43200.0	3
46800.0	2
50400.0	2
54000.0	2
57600.0	0
61200.0	1
64800.0	4
68400.0	1
72000.0	1
75600.0	101
79200.0	111
82800.0	93
86400.0	57
90000.0	123
93600.0	61
97200.0	13
100800.0	32
104400.0	35
108000.0	26
111600.0	113
115200.0	55
118800.0	11
122400.0	1
126000.0	4
129600.0	5

