TIME	RELAYED
133200.0	2
136800.0	2
140400.0	4
144000.0	0
147600.0	2
151200.0	5
154800.0	1
158400.0	7
162000.0	48
165600.0	36
169200.0	54
172800.0	71
176400.0	87
180000.0	52
183600.0	53
187200.0	36
190800.0	27
194400.0	7
198000.0	2
201600.0	5
205200.0	1
208800.0	0
212400.0	2
216000.0	4
219600.0	3
223200.0	1
226800.0	1
230400.0	2
234000.0	3
237600.0	0
241200.0	1
244800.0	38
248400.0	110
252000.0	89
255600.0	22
259200.0	75
266400.0	5
273600.0	0
3600.0	0
7200.0	0
10800.0	0
14400.0	0
262800.0	23
270000.0	0
18000.0	0
21600.0	84
25200.0	230
28800.0	8
32400.0	8
36000.0	5
39600.0	4
43200.0	2
46800.0	3
50400.0	1
54000.0	2
57600.0	1
61200.0	3
64800.0	1
68400.0	0
72000.0	4
75600.0	98
79200.0	100
82800.0	99
86400.0	48
90000.0	95
93600.0	32
97200.0	22
100800.0	57
104400.0	15
108000.0	16
111600.0	60
115200.0	15
118800.0	15
122400.0	6
126000.0	7
129600.0	2

