TIME	RELAYED
133200.0	3
136800.0	4
140400.0	4
144000.0	0
147600.0	2
151200.0	5
154800.0	0
158400.0	7
162000.0	61
165600.0	33
169200.0	74
172800.0	99
176400.0	66
180000.0	45
183600.0	58
187200.0	46
190800.0	26
194400.0	8
198000.0	1
201600.0	7
205200.0	3
208800.0	0
212400.0	3
216000.0	2
219600.0	5
223200.0	7
226800.0	2
230400.0	0
234000.0	5
237600.0	0
241200.0	0
244800.0	19
248400.0	118
252000.0	159
255600.0	41
259200.0	61
266400.0	14
273600.0	0
3600.0	0
7200.0	0
10800.0	0
14400.0	0
262800.0	34
270000.0	9
18000.0	0
21600.0	27
25200.0	273
28800.0	3
32400.0	4
36000.0	3
39600.0	2
43200.0	5
46800.0	2
50400.0	3
54000.0	0
57600.0	1
61200.0	0
64800.0	10
68400.0	0
72000.0	4
75600.0	135
79200.0	79
82800.0	65
86400.0	54
90000.0	137
93600.0	65
97200.0	10
100800.0	36
104400.0	23
108000.0	35
111600.0	128
115200.0	28
118800.0	7
122400.0	3
126000.0	3
129600.0	6

