TIME	RELAYED
133200.0	6
136800.0	7
140400.0	5
144000.0	0
147600.0	3
151200.0	3
154800.0	1
158400.0	1
162000.0	55
165600.0	66
169200.0	52
172800.0	123
176400.0	90
180000.0	68
183600.0	70
187200.0	52
190800.0	23
194400.0	13
198000.0	4
201600.0	5
205200.0	4
208800.0	2
212400.0	0
216000.0	4
219600.0	7
223200.0	2
226800.0	1
230400.0	2
234000.0	4
237600.0	1
241200.0	2
244800.0	18
248400.0	90
252000.0	194
255600.0	58
259200.0	70
266400.0	44
273600.0	0
3600.0	0
7200.0	0
10800.0	0
14400.0	0
262800.0	61
270000.0	23
18000.0	0
21600.0	11
25200.0	231
28800.0	8
32400.0	8
36000.0	3
39600.0	1
43200.0	5
46800.0	5
50400.0	2
54000.0	7
57600.0	0
61200.0	2
64800.0	1
68400.0	2
72000.0	2
75600.0	74
79200.0	96
82800.0	75
86400.0	54
90000.0	144
93600.0	83
97200.0	20
100800.0	30
104400.0	19
108000.0	26
111600.0	102
115200.0	58
118800.0	13
122400.0	8
126000.0	5
129600.0	2

