TIME	RELAYED
133200.0	227
136800.0	229
140400.0	277
144000.0	225
147600.0	224
151200.0	216
154800.0	265
158400.0	231
162000.0	242
165600.0	229
169200.0	158
172800.0	320
176400.0	234
180000.0	231
183600.0	211
187200.0	224
190800.0	206
194400.0	283
198000.0	230
201600.0	190
205200.0	288
208800.0	198
212400.0	257
216000.0	215
219600.0	284
223200.0	161
226800.0	256
230400.0	277
234000.0	235
237600.0	224
241200.0	236
244800.0	225
248400.0	188
252000.0	260
255600.0	200
259200.0	22
266400.0	0
273600.0	0
3600.0	77
7200.0	249
10800.0	204
14400.0	290
262800.0	0
270000.0	0
18000.0	180
21600.0	228
25200.0	247
28800.0	160
32400.0	310
36000.0	244
39600.0	220
43200.0	205
46800.0	255
50400.0	212
54000.0	211
57600.0	283
61200.0	257
64800.0	152
68400.0	258
72000.0	250
75600.0	232
79200.0	193
82800.0	193
86400.0	295
90000.0	251
93600.0	193
97200.0	253
100800.0	188
104400.0	233
108000.0	281
111600.0	172
115200.0	255
118800.0	237
122400.0	102
126000.0	278
129600.0	261

