TIME	RELAYED
133200.0	180
136800.0	191
140400.0	264
144000.0	189
147600.0	175
151200.0	182
154800.0	214
158400.0	202
162000.0	185
165600.0	210
169200.0	186
172800.0	214
176400.0	231
180000.0	158
183600.0	187
187200.0	208
190800.0	204
194400.0	201
198000.0	173
201600.0	200
205200.0	233
208800.0	167
212400.0	212
216000.0	180
219600.0	212
223200.0	196
226800.0	188
230400.0	201
234000.0	193
237600.0	205
241200.0	191
244800.0	237
248400.0	210
252000.0	167
255600.0	170
259200.0	205
266400.0	32
273600.0	0
3600.0	3
7200.0	31
10800.0	106
14400.0	223
262800.0	97
270000.0	11
18000.0	176
21600.0	169
25200.0	208
28800.0	197
32400.0	167
36000.0	204
39600.0	210
43200.0	192
46800.0	229
50400.0	169
54000.0	210
57600.0	188
61200.0	187
64800.0	205
68400.0	197
72000.0	175
75600.0	219
79200.0	220
82800.0	187
86400.0	179
90000.0	188
93600.0	201
97200.0	182
100800.0	205
104400.0	213
108000.0	240
111600.0	205
115200.0	170
118800.0	185
122400.0	207
126000.0	192
129600.0	162

