TIME	RELAYED
133200.0	207
136800.0	225
140400.0	269
144000.0	191
147600.0	161
151200.0	186
154800.0	231
158400.0	249
162000.0	214
165600.0	202
169200.0	143
172800.0	204
176400.0	233
180000.0	219
183600.0	225
187200.0	179
190800.0	198
194400.0	234
198000.0	205
201600.0	215
205200.0	197
208800.0	179
212400.0	210
216000.0	218
219600.0	179
223200.0	232
226800.0	181
230400.0	232
234000.0	217
237600.0	190
241200.0	243
244800.0	187
248400.0	181
252000.0	198
255600.0	185
259200.0	195
266400.0	10
273600.0	0
3600.0	8
7200.0	73
10800.0	179
14400.0	214
262800.0	46
270000.0	2
18000.0	183
21600.0	214
25200.0	240
28800.0	151
32400.0	162
36000.0	267
39600.0	223
43200.0	169
46800.0	224
50400.0	196
54000.0	203
57600.0	168
61200.0	229
64800.0	227
68400.0	192
72000.0	210
75600.0	200
79200.0	197
82800.0	187
86400.0	202
90000.0	199
93600.0	250
97200.0	191
100800.0	182
104400.0	241
108000.0	229
111600.0	209
115200.0	170
118800.0	201
122400.0	221
126000.0	175
129600.0	168

