TIME	RELAYED
133200.0	172
136800.0	177
140400.0	219
144000.0	183
147600.0	197
151200.0	162
154800.0	202
158400.0	193
162000.0	188
165600.0	162
169200.0	205
172800.0	191
176400.0	210
180000.0	199
183600.0	213
187200.0	180
190800.0	154
194400.0	187
198000.0	204
201600.0	197
205200.0	211
208800.0	169
212400.0	185
216000.0	170
219600.0	176
223200.0	185
226800.0	184
230400.0	195
234000.0	199
237600.0	203
241200.0	197
244800.0	212
248400.0	157
252000.0	210
255600.0	172
259200.0	156
266400.0	77
273600.0	8
3600.0	2
7200.0	16
10800.0	72
14400.0	160
262800.0	132
270000.0	25
18000.0	181
21600.0	174
25200.0	177
28800.0	191
32400.0	175
36000.0	171
39600.0	192
43200.0	170
46800.0	220
50400.0	205
54000.0	196
57600.0	200
61200.0	177
64800.0	182
68400.0	214
72000.0	180
75600.0	183
79200.0	188
82800.0	193
86400.0	165
90000.0	183
93600.0	175
97200.0	174
100800.0	187
104400.0	233
108000.0	216
111600.0	192
115200.0	151
118800.0	171
122400.0	182
126000.0	185
129600.0	179

